time,open,high,low,close,volume
10/6/2022 16:40,138.55,138.71,138.46,138.7,6204
10/6/2022 16:45,138.65,138.8,138.65,138.8,4040
10/6/2022 16:50,139.07,139.07,138.7474,138.7474,62650
10/6/2022 17:00,138.72,138.74,138.7,138.7,1516
10/6/2022 17:05,138.53,138.58,138.53,138.53,1529
10/6/2022 17:10,138.7233,138.7233,138.6675,138.6675,1034
10/6/2022 17:15,138.56,138.56,138.35,138.35,6460
10/6/2022 17:20,138.3677,138.3677,138.3612,138.3612,800
10/6/2022 17:25,138.5,138.7497,138.48,138.7497,4049
10/6/2022 17:30,138.66,138.66,138.61,138.61,1415
10/6/2022 17:35,138.5,138.74,138.47,138.73,1674
10/6/2022 17:40,138.724,138.74,138.6118,138.74,4765
10/6/2022 17:45,138.7467,138.75,138.72,138.75,1739
10/6/2022 17:55,138.83,138.83,138.57,138.82,3663
10/6/2022 18:05,138.73,138.8,138.5,138.78,3119
10/6/2022 18:10,138.65,138.65,138.65,138.65,384
10/6/2022 18:20,138.8,138.8,138.8,138.8,997
10/6/2022 18:25,138.87,139,138.78,138.78,2242
10/6/2022 18:35,138.65,138.65,138.61,138.61,754
10/6/2022 18:45,138.71,138.71,138.61,138.61,1843
10/6/2022 18:50,138.51,138.51,138.51,138.51,115
10/6/2022 18:55,138.55,138.55,138.55,138.55,123
10/6/2022 19:00,138.43,138.77,138.4,138.77,2565
10/6/2022 19:05,138.67,138.77,138.67,138.77,505
10/6/2022 19:10,138.7,138.7,138.7,138.7,410
10/6/2022 19:25,138.8,138.8,138.8,138.8,450
10/6/2022 19:30,138.75,138.8,138.6,138.8,4391
10/6/2022 19:35,138.78,138.8,138.78,138.8,495
10/6/2022 19:40,138.69,138.69,138.69,138.69,425
10/6/2022 19:50,138.59,138.59,138.59,138.59,105
10/6/2022 19:55,138.59,138.59,138.51,138.51,1455
10/6/2022 20:00,138.21,138.4,138.21,138.4,772
10/7/2022 4:05,138.17,138.17,138.01,138.01,1016
10/7/2022 4:10,138.3,138.35,138.3,138.35,400
10/7/2022 4:20,138.5,138.5,138.5,138.5,418
10/7/2022 4:40,138.5,138.5,138.43,138.43,770
10/7/2022 5:00,138.4,138.4,138.4,138.4,1425
10/7/2022 5:15,138.47,138.5,138.47,138.5,452
10/7/2022 6:05,138.77,139,138.75,138.76,5919
10/7/2022 6:10,138.7,138.7,138.7,138.7,500
10/7/2022 6:20,138.89,138.89,138.89,138.89,431
10/7/2022 6:25,138.89,139,138.75,138.89,2317
10/7/2022 6:30,138.99,138.99,138.99,138.99,220
10/7/2022 6:35,139.05,139.1,139,139.05,3372
10/7/2022 6:40,139.11,139.33,139.11,139.33,3852
10/7/2022 6:45,139.49,139.96,139.46,139.75,7295
10/7/2022 6:50,139.75,139.75,139.75,139.75,304
10/7/2022 7:05,139.45,140,139.3,139.6,10766
10/7/2022 7:10,139.65,139.65,139.5,139.64,8583
10/7/2022 7:15,139.63,139.95,139.63,139.95,7817
10/7/2022 7:20,139.82,139.83,139.81,139.83,1226
10/7/2022 7:25,139.82,139.94,139.75,139.75,1862
10/7/2022 7:30,139.7,139.82,139.7,139.75,4077
10/7/2022 7:35,139.7,139.85,139.7,139.85,5919
10/7/2022 7:40,139.71,139.71,139.5,139.5,8384
10/7/2022 7:50,139.7,139.7,139.69,139.69,668
10/7/2022 7:55,139.7,139.78,139.7,139.78,3235
10/7/2022 8:00,139.8,139.8,139.53,139.53,4211
10/7/2022 8:05,139.35,139.95,139.2327,139.2327,14582
10/7/2022 8:10,139.49,139.65,139.49,139.62,6143
10/7/2022 8:15,139.62,139.85,139.62,139.85,7505
10/7/2022 8:20,139.8,140.04,139.8,139.92,12416
10/7/2022 8:25,139.95,140.12,139.7605,139.7605,7862
10/7/2022 8:30,139.88,140,139.7,139.8,3342
10/7/2022 8:35,139.97,139.99,136.95,138.5,71930
10/7/2022 8:40,138.68,139.3,137.76,138.39,49780
10/7/2022 8:45,138.26,138.45,137.75,137.75,29786
10/7/2022 8:50,137.99,137.99,137.22,137.24,78377
10/7/2022 8:55,137.2,137.28,136.66,137.02,37937
10/7/2022 9:00,137.1022,137.7,137.1,137.48,32049
10/7/2022 9:05,137.45,137.69,137.2,137.3,41260
10/7/2022 9:10,137.29,137.35,137.02,137.3,27540
10/7/2022 9:15,137.38,137.6,137.22,137.5,44265
10/7/2022 9:20,137.48,137.68,137.45,137.59,28085
10/7/2022 9:25,137.5,137.5,137.1,137.37,13342
10/7/2022 9:30,137.15,137.2,136.45,136.75,99363
10/7/2022 9:35,136.76,138.29,136.37,138.13,1211806
10/7/2022 9:40,138.135,138.135,137.3,137.425,585693
10/7/2022 9:45,137.4,137.99,136.08,136.24,578691
10/7/2022 9:50,136.2,136.3799,135.595,135.63,545481
10/7/2022 9:55,135.6485,135.6799,135.21,135.37,540218
10/7/2022 10:00,135.3603,135.5372,135.08,135.24,464739
10/7/2022 10:05,135.26,135.62,135.17,135.43,391996
10/7/2022 10:10,135.45,135.79,135.3292,135.61,500535
10/7/2022 10:15,135.6,135.91,135.53,135.705,374033
10/7/2022 10:20,135.7,136.065,135.6794,135.955,361521
10/7/2022 10:25,135.96,136.35,135.56,136.09,340760
10/7/2022 10:30,136.09,136.26,135.56,135.67,362605
10/7/2022 10:35,135.67,135.8238,135.06,135.0823,424614
10/7/2022 10:40,135.0865,135.25,134.8301,134.86,527606
10/7/2022 10:45,134.85,135.66,134.84,135.635,401013
